concept,subtopics
Schedulers,"Introduction to Reactive Schedulers|Purpose of Schedulers for Concurrency|Main Thread Scheduler (e.g., MainScheduler)|Background Schedulers (e.g., ConcurrentDispatchQueueScheduler)|subscribeOn vs observeOn Explained|Custom Scheduler Implementation|Best Practices for Scheduler Usage"
Delegate Pattern,"Introduction to the Delegate Design Pattern|Components: Delegating Object, Delegate Protocol|Purpose: Decoupling and Communication|Defining Delegate Protocols|Assigning and Implementing Delegates|Weak References and Memory Management|Common Use Cases in iOS/macOS"
Implementing Delegates,Step-by-Step Delegate Protocol Definition|Creating a Delegating Class/Struct|Conforming to a Delegate Protocol|Setting the Delegate Property|Calling Delegate Methods|Handling Optional Delegate Methods|Debugging Delegate Implementations
Callbacks,Introduction to Callback Functions|Synchronous vs Asynchronous Callbacks|Passing Functions as Arguments|Event Handling with Callbacks|Error Handling in Callbacks|Common Use Cases for Callbacks|Limitations of Callbacks
Closures,Introduction to Closures as Self-Contained Blocks|Closure Expression Syntax|Capturing Values from Surrounding Context|Trailing Closures and Shorthand Argument Names|Escaping vs Non-Escaping Closures|Closures as Function Parameters and Return Types|Type Aliases for Closure Types
Understanding and using Closures,Basic Closure Declaration and Invocation|Inferring Type from Context|Implicit Returns from Single-Expression Closures|Capturing Reference Types vs Value Types|Closures with Multiple Parameters and Return Values|Debugging Closure-Related Issues|Performance Considerations with Closures
Capturing Values & Memory Mgmt.,Value Capture by Closures Explained|Strong Reference Cycles with Closures|weak and unowned Capture Lists|Resolving Strong Reference Cycles in Practice|Understanding [weak self] and [unowned self]|Implicit Capture vs Explicit Capture Lists|Debugging Memory Leaks from Closures
Callback Hell,"Definition and Characteristics of Callback Hell|Nested Callbacks for Sequential Operations|Readability and Maintainability Issues|Error Handling Challenges in Callback Hell|Debugging Complex Callback Chains|Strategies to Avoid Callback Hell (e.g., Promises)|Refactoring Callback-Based Code"
Async / Await,"Introduction to Asynchronous Programming with Async/Await|async Functions and await Expressions|Structured Concurrency Principles|Error Handling with try, catch in Async/Await|Task Management and Cancellation|Bridging with Older Asynchronous APIs|Concurrency Best Practices with Async/Await"
Concurrency,Introduction to Concurrency vs Parallelism|Threads and Processes|Grand Central Dispatch (GCD) Basics|Dispatch Queues (Serial vs Concurrent)|Synchronous vs Asynchronous Tasks|Dispatch Groups and Semaphores|Race Conditions and Deadlocks|Thread Safety and Synchronization Mechanisms
Data Persistence,"Introduction to Data Persistence Concepts|User Defaults / NSUserDefaults|Property Lists (PList) for Simple Data|File System Storage (Documents, Caches Directories)|Archiving and Unarchiving Objects (Codable, NSCoding)|Core Data Framework Basics|Realm Mobile Database Fundamentals|Cloud-Based Persistence (e.g., CloudKit, Firebase)"
Core Data,Introduction to Core Data Stack|Managed Object Context and Managed Objects|Data Models and Entities|Fetch Requests and Predicates|Relationships and Fetched Properties|Migrations and Versioning|Threading with Core Data|Performance Optimization for Core Data
User Defaults,Storing Basic Data Types|Retrieving Data from User Defaults|Synchronizing User Defaults|Using Property Lists with User Defaults|Observing Changes in User Defaults|Security Considerations for User Defaults
Keychain,Introduction to Secure Storage|Storing and Retrieving Sensitive Data|Keychain Item Attributes|Querying the Keychain|Handling Keychain Errors and Security|Syncing with iCloud Keychain
File System,Understanding Sandbox and App Directories|Reading and Writing Files|Managing Directories and File Paths|File Attributes and Metadata|URL vs. String Paths for Files|Document Picker and File Providers
SQLite,"Introduction to Relational Databases|Basic SQL Commands (CREATE, INSERT, SELECT, UPDATE, DELETE)|Using SQLite.swift or Similar Wrappers|Database Schema Design and Normalization|Transactions and Concurrency in SQLite|Indexing for Performance Optimization"
JSON / XML,Introduction to Data Interchange Formats|JSON Structure and Syntax|XML Structure and Syntax|When to Use JSON vs. XML|Basic Concepts of Data Parsing|Schema Validation for JSON and XML
Parsing,Introduction to Data Parsing Techniques|JSON Parsing with JSONSerialization|Codable Protocol for JSON Parsing|XML Parsing with XMLParser|Error Handling During Parsing|Custom Data Transformations During Parsing
Serializing,Introduction to Data Serialization Techniques|JSON Serialization with JSONSerialization|Codable Protocol for JSON Encoding|PropertyList Serialization|Custom Object Serialization|Data Representation for Network Transfer
HTTP / HTTPs,"Introduction to Client-Server Communication|HTTP Request Methods (GET, POST, PUT, DELETE)|HTTP Status Codes|Request Headers and Body|HTTPS and TLS/SSL Basics|Basic RESTful Principles"
REST,"Introduction to RESTful Architecture|Resources and URIs|HTTP Methods in REST (Idempotency, Safety)|Statelessness and Caching|Request and Response Formats (JSON, XML)|Designing RESTful APIs"
URLSession,"Introduction to Network Requests|URLSession Configuration|Data Tasks, Upload Tasks, Download Tasks|Handling Responses and Errors|URLSession Delegates and Completion Handlers|Background URLSession Sessions"
Alamofire,Introduction to Alamofire|Making Basic HTTP Requests with Alamofire|Parameter Encoding and Response Handling|Uploading and Downloading Files with Alamofire|Request Interceptors and Adapters|Error Handling and Retries in Alamofire
Concurrency and Multithreading,"Introduction to Concurrency vs. Parallelism|Threads and Processes|Race Conditions and Deadlocks|Grand Central Dispatch (GCD) Basics|Operation Queues Basics|Synchronization Mechanisms (Locks, Semaphores)"
GCD,"Dispatch Queues (Serial, Concurrent, Main)|Asynchronous and Synchronous Execution|Dispatch Work Items|Dispatch Groups for Task Coordination|Dispatch Semaphores for Resource Control|Quality of Service (QoS) Classes"
Operation Queues,Introduction to Operation and OperationQueue|Creating Custom Operations|Dependencies Between Operations|Cancelling Operations|Quality of Service (QoS) for Operations|Concurrency Management with Operation Queues
Dependency Manager,"Introduction to Dependency Management|Why Use Dependency Managers|Common Problems Solved by Managers|Overview of CocoaPods, Carthage, SPM|Versioning Strategies for Dependencies|Resolving Dependency Conflicts"
CocoaPods,Installing CocoaPods|Creating a Podfile|Adding and Updating Pods|Managing Pod Versions|Troubleshooting CocoaPods Issues|Creating a Private Pod
Carthage,Installing Carthage|Creating a Cartfile|Building and Linking Frameworks|Managing Binary Dependencies|Updating Carthage Dependencies|Integrating Carthage with Xcode Projects
Swift Package Manager,Introduction to Swift Package Manager (SPM)|Creating a Package.swift Manifest|Adding Package Dependencies|Using Local and Remote Packages|Creating Custom Swift Packages|Integrating SPM with Xcode Projects
Frameworks & Library,Understanding Frameworks vs. Libraries|Static vs. Dynamic Linking|Importing and Using Frameworks|Creating Custom Frameworks|Module Stability and API Evolution|Best Practices for Dependency Selection
XCFramework,Introduction to XCFrameworks and their purpose|Creating an XCFramework from existing projects|Integrating XCFrameworks into an application|Distributing XCFrameworks for multi-platform support|Debugging and troubleshooting XCFramework integration
Static Library,Understanding Static Libraries vs. Dynamic Libraries|Creating a Static Library project in Xcode|Linking and embedding Static Libraries|Symbol visibility and name mangling in Static Libraries|Advantages and disadvantages of using Static Libraries
Dynamic Library,Understanding Dynamic Libraries and their benefits|Creating a Dynamic Library project in Xcode|Loading and linking Dynamic Libraries at runtime|Dynamic Library versioning and compatibility|Debugging and troubleshooting Dynamic Library loading issues
Accessibility Inspector,Introduction to iOS Accessibility Principles|Launching and Navigating the Accessibility Inspector|Inspecting UI Elements and their Accessibility Attributes|Identifying Common Accessibility Issues with the Inspector|Using the Accessibility Audit Feature for automated checks
Voice Over,Introduction to VoiceOver User Experience|Enabling VoiceOver and Basic Gestures|Customizing Accessibility Labels and Hints|Understanding Accessibility Traits and Values|Testing Custom UI Elements with VoiceOver
Dynamic Type,Introduction to Dynamic Type and its Importance|Supporting Dynamic Type in Standard UI Components|Using UIFontMetrics for Custom Fonts and Scaling|Responding to Content Size Category Changes|Testing Dynamic Type Across Various Text Sizes
Frameworks,"Understanding Frameworks and their Structure|Types of Frameworks (System, Embedded, Custom)|Creating a Custom Framework Project|Embedding and Linking Custom Frameworks|Framework Versioning and API Compatibility"
ARKit,"Introduction to Augmented Reality and ARKit Basics|Setting Up an ARSession and ARView|Detecting Planes and Placing Virtual Objects|Understanding AR Anchors and World Tracking|Scene Understanding and Environmental Textures|Interacting with Virtual Content (Gestures, Physics)|Persistent AR Experiences with ARWorldMap"
HealthKit,"Introduction to HealthKit Data Types and Permissions|Requesting Authorization for Health Data|Reading Health Data (Samples, Characteristics)|Writing Health Data to the Health Store|Observing Changes with HKObserverQuery|Background Delivery and Data Synchronization"
GameKit,Introduction to GameKit Features and Game Center|Player Authentication and Game Center Integration|Implementing Leaderboards and Achievements|Turn-Based Multiplayer Game Development|Real-Time Multiplayer Game Development|Integrating CloudKit for Game Data Storage
MapKit,Introduction to MapKit and Displaying Maps|Adding Annotations and Overlays to Maps|Displaying User Location and Tracking|Geocoding and Reverse Geocoding Locations|Implementing Routing and Directions|Customizing Map Appearance and Behavior
Core ML,Introduction to Machine Learning and Core ML|Converting Models to Core ML Format (.mlmodel)|Integrating Core ML Models into an iOS App|Making Predictions with Core ML|On-Device Training and Personalization with Create ML|Integrating Core ML with Vision Framework for Image Analysis
Code Quality Tools,Importance of Code Quality and Static Analysis|Overview of Different Code Quality Tool Categories|Integrating Code Quality Tools into Development Workflow|Interpreting Tool Reports and Prioritizing Fixes|Customizing Rules and Configurations for Specific Projects
SwiftLint,Introduction to SwiftLint and its Purpose|Installing and Integrating SwiftLint into Xcode|Understanding SwiftLint Rules and Violations|Configuring SwiftLint with a .swiftlint.yml File|Auto-Correcting SwiftLint Violations|Integrating SwiftLint with CI/CD Pipelines
Tailor,"Introduction to Tailor for Code Metrics Analysis|Installing and Running Tailor on Swift Projects|Understanding Tailor's Metrics (e.g., Cyclomatic Complexity)|Configuring Tailor for Specific Project Needs|Interpreting Tailor Reports and Improving Code Maintainability"
SwiftFormat,Introduction to SwiftFormat for Code Formatting|Installing and Integrating SwiftFormat|Basic Usage for Formatting Swift Code|Configuring SwiftFormat Rules and Options|Integrating SwiftFormat with Xcode and Pre-Commit Hooks
Debugging Techniques,"Understanding the Debugging Process and Tools|Setting and Managing Breakpoints (Basic, Conditional, Symbolic)|Stepping Through Code (Step Over, Step Into, Step Out)|Inspecting Variables and Memory|Using the Debug Console and LLDB Commands|Debugging Crashes and Exceptions|Advanced Debugging with Watchpoints and Thread Sanitizer"
